City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
181,Kudahuvadhoo,MV,82.06,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
182,Sao Gabriel Da Cachoeira,BR,71.67,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
183,Hamilton,US,74.17,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
184,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
186,Skibbereen,IE,66.11,overcast clouds,51.55,-9.2667,The West Cork Hotel
188,Linxia,CN,70.97,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
189,Quatre Cocos,MU,69.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
190,Lorengau,PG,81.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
193,Belle Glade,US,80.01,overcast clouds,26.6845,-80.6676,Mid-City Trailer Park
194,Koroni,GR,78.51,clear sky,36.8,21.95,Apartments Xenios Zeus 1
195,Mareeba,AU,76.44,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
196,Carutapera,BR,74.17,scattered clouds,-1.195,-46.02,Lidera
198,Baruun-Urt,MN,79.23,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
199,Gboko,NG,71.06,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
202,Malartic,CA,71.71,light rain,48.1335,-78.1328,Camping Regional De Malartic
208,Mae Hong Son,TH,89.74,scattered clouds,19.3003,97.9685,Baiyoke Chalet Hotel
212,Carora,VE,75.63,overcast clouds,10.1755,-70.0827,Hotel Irpinia
213,Kouroussa,GN,70.75,overcast clouds,10.65,-9.8833,Hotel Tando Plus
214,Marawi,PH,75.67,overcast clouds,7.9986,124.2928,Derogongan Residence
216,Lagoa,PT,68.65,overcast clouds,39.05,-27.9833,Casa Das Faias
218,Broome,US,72.01,overcast clouds,42.2506,-75.833,Chenango Valley State Park
219,Alihe,CN,74.7,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
220,Abu Kamal,SY,89.98,clear sky,34.4506,40.9171,البوكمال
221,Monopoli,IT,78.71,clear sky,40.9559,17.2896,Il Melograno
224,Southbridge,US,74.55,moderate rain,42.0751,-72.0334,Southbridge Hotel & Conference Center
226,Faya,SA,66.31,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
227,Arlit,NE,87.91,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
228,Pizarro,CO,78.06,overcast clouds,4.9533,-77.366,Hotel Limonar
229,Worland,US,86.9,clear sky,44.0169,-107.9554,Town House Motor Inn
232,Karratha,AU,79.43,clear sky,-20.7377,116.8463,ibis Styles Karratha
233,Rincon,US,80.83,clear sky,32.296,-81.2354,Days Inn Rincon
234,Hobyo,SO,75.61,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
236,Vrangel,RU,68.7,overcast clouds,42.7297,133.0839,"Отель ""БАЛИ"""
242,Jacmel,HT,84.04,clear sky,18.2342,-72.5347,Historic Hotel Florita
243,Marsh Harbour,BS,81.88,clear sky,26.5412,-77.0636,Abaco Beach Resort
245,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
246,Sault Sainte Marie,CA,68.56,clear sky,46.5168,-84.3333,Comfort Inn
251,Katsuura,JP,78.82,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
256,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
258,Novobiryusinskiy,RU,65.88,light rain,56.9578,97.7076,Gostinitsa
259,Raymondville,US,84.31,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
261,Sao Joao Da Barra,BR,70.27,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
263,Mananjary,MG,67.8,light rain,-21.2167,48.3333,Vahiny Lodge
265,Pimenta Bueno,BR,70.36,few clouds,-11.6725,-61.1936,Cristalina Palace Hotel
266,Sao Filipe,CV,74.97,overcast clouds,14.8961,-24.4956,Hotel Xaguate
268,Puerto Leguizamo,CO,70.25,broken clouds,-0.1934,-74.7819,la casona de juancho
274,Hailey,US,75.06,clear sky,43.5196,-114.3153,Wood River Inn & Suites
275,Carnarvon,AU,71.96,clear sky,-24.8667,113.6333,Hospitality Carnarvon
276,Adiake,CI,74.12,overcast clouds,5.2863,-3.304,HOTEL COEUR D'OR
277,Canchungo,GW,77.16,moderate rain,12.0672,-16.0333,Aparthotel Napalach
278,Dhidhdhoo,MV,82.13,overcast clouds,6.8833,73.1,Dhidhoo beach
279,Rock Sound,BS,81.75,clear sky,24.9,-76.2,Pink Corral Bay Property
280,Thompson,CA,69.96,scattered clouds,55.7435,-97.8558,Burntwood Hotel
283,Sidi Ali,DZ,72.82,clear sky,36.0998,0.4206,Complexe touristique haje bezine
284,Sioux Lookout,CA,71.67,smoke,50.1001,-91.917,Knobby's Fly-In Camps
286,Jiblah,YE,69.19,overcast clouds,13.9216,44.1467,Tiger Tower Hotel
289,Zhezkazgan,KZ,76.98,clear sky,47.8043,67.7144,Hotel Zumrat
